time,DAM_price,temp,wind_speed,wind_speed_unit,humidity_relative,cloudiness,sun_duration_24hours,temp_heterogeneity_category,phase1_avg_money,phase1_mean,phase2_avg_money,phase2_mean,avg_t_out_on_18h,avg_t_out_on_36h,avg_dam_on_18h,avg_dam_on_36h
2022-11-29 23:00:00,0.2779800109863281,4.1,1.622,1.0,100.0,,19.0,b36,0.8680527178253821,0.3370154527362876,0.6149122924174095,0.21251331189913733,4.955555555555556,4.725,0.38470666673448345,0.3767719446818034
2022-11-30 00:00:00,0.2941000061035156,4.4,1.0,1.0,100.0,,0.0,b36,0.8800225645683647,0.3370154527362876,0.6218225885662938,0.21251331189913733,5.061111111111112,4.7749999999999995,0.39723833211263027,0.3811647220187717
2022-11-30 01:00:00,0.2829400024414063,4.3,1.432,1.0,100.0,,0.0,b36,0.8951519052953407,0.3370154527362876,0.6312342844518354,0.21251331189913733,5.138888888888889,4.813888888888889,0.40841055467393667,0.38478444417317703
2022-11-30 02:00:00,0.2718399963378906,4.5,1.0,1.0,100.0,,0.0,b36,0.9145363054119867,0.3370154527362876,0.6461412180311209,0.21251331189913733,5.227777777777778,4.852777777777778,0.4185327775743273,0.3887411109076606
2022-11-30 03:00:00,0.2606900024414063,4.6,1.022,1.0,100.0,,0.0,b36,0.9392743213015847,0.3370154527362876,0.6750303424224514,0.21251331189913733,5.300000000000001,4.905555555555555,0.42673277791341147,0.3934947221544054
2022-11-30 04:00:00,0.2676300048828125,4.7,1.54,1.0,100.0,,0.0,b36,0.9723988636622415,0.3370154527362876,0.7051663915523648,0.21251331189913733,5.344444444444445,4.949999999999999,0.4313672214084201,0.398926389058431
2022-11-30 05:00:00,0.29,4.7,1.0,1.0,100.0,,0.0,b36,1.0050158164771967,0.3370154527362876,0.7254307520316163,0.21251331189913733,5.338888888888889,4.9833333333333325,0.4340999993218316,0.4041694446139865
2022-11-30 06:00:00,0.3293200073242187,4.7,1.0,1.0,100.0,,0.0,b36,1.0334135445829322,0.3370154527362876,0.7351932737134007,0.21251331189913733,5.283333333333334,5.0,0.4335449998643663,0.40956027815077034
2022-11-30 07:00:00,0.4344299926757813,4.5,1.0,1.0,100.0,,0.0,b36,1.02577341189819,0.3370154527362876,0.7086182241283784,0.21251331189913733,5.205555555555555,4.986111111111111,0.4315199991861979,0.41346222262912324
2022-11-30 08:00:00,0.4781000061035156,4.4,1.353,1.0,100.0,,0.0,b36,0.9976021606291743,0.3370154527362876,0.652492755632917,0.21251331189913733,5.133333333333334,4.93888888888889,0.4235599992540147,0.41411388990614145
2022-11-30 09:00:00,0.4786000061035156,4.7,1.206,1.0,100.0,,0.0,b36,0.9618139444570304,0.3370154527362876,0.5815291522810476,0.21251331189913733,5.061111111111112,4.844444444444445,0.41279222106933594,0.4126466674804688
2022-11-30 10:00:00,0.4747099914550781,4.8,1.0,1.0,100.0,,0.0,b36,0.9301687584432295,0.3370154527362876,0.5262778119885303,0.21251331189913733,5.011111111111111,4.727777777777778,0.401429443359375,0.4094633339775934
2022-11-30 11:00:00,0.4825199890136719,5.2,1.287,1.0,100.0,,0.0,b36,0.8998778770489386,0.3370154527362876,0.48862428672448144,0.21251331189913733,4.966666666666666,4.611111111111112,0.390131110297309,0.40563833448621966
2022-11-30 12:00:00,0.449989990234375,5.7,1.0,1.0,100.0,,0.0,b36,0.8882759196286659,0.3370154527362876,0.4809554722162287,0.21251331189913733,4.8999999999999995,4.480555555555555,0.37905888875325516,0.40101166788736975
2022-11-30 13:00:00,0.4504700012207031,5.8,1.0,1.0,100.0,,0.0,b36,0.8888466656964149,0.3370154527362876,0.4915245326800031,0.21251331189913733,4.794444444444444,4.355555555555555,0.3727261115180121,0.3975061128404405
2022-11-30 14:00:00,0.464239990234375,5.9,1.269,1.0,99.7,,0.0,b36,0.8871340524506027,0.3370154527362876,0.5015273908393018,0.21251331189913733,4.688888888888889,4.216666666666666,0.3717188890245226,0.3936852798461914
2022-11-30 15:00:00,0.458760009765625,6.2,1.561,1.0,98.3,,0.0,b36,0.8869479749175693,0.3370154527362876,0.5067631168983174,0.21251331189913733,4.594444444444445,4.094444444444445,0.3712850002712673,0.3892994469536675
2022-11-30 16:00:00,0.4783999938964844,6.0,0.0,1.0,100.0,,0.0,b36,0.8792143801406017,0.3370154527362876,0.5010688595302225,0.21251331189913733,4.527777777777779,3.9749999999999996,0.3711372222900391,0.38485639105902775
2022-11-30 17:00:00,0.5035499877929688,6.0,1.0,1.0,100.0,,0.0,b36,0.8681845246877505,0.3370154527362876,0.49199851922062776,0.21251331189913733,4.4944444444444445,3.8972222222222226,0.3688372226291233,0.37992083570692275
2022-11-30 18:00:00,0.4952000122070312,5.8,0.0,1.0,100.0,,0.0,b36,0.8512211159749102,0.3370154527362876,0.48549713470448824,0.21251331189913733,4.48888888888889,3.822222222222222,0.36509111192491317,0.3745602806939019
2022-11-30 19:00:00,0.4651400146484375,5.9,1.195,1.0,100.0,,0.0,b36,0.8359211532514232,0.3370154527362876,0.49251893989777695,0.21251331189913733,4.488888888888889,3.7583333333333337,0.36115833367241756,0.37074416944715716
2022-11-30 20:00:00,0.4194400024414062,5.8,1.372,1.0,100.0,,0.0,b36,0.8254042412667422,0.3370154527362876,0.5109479537503843,0.21251331189913733,4.477777777777778,3.7055555555555557,0.35894944424099395,0.36961972469753696
2022-11-30 21:00:00,0.3441099853515625,5.4,2.395,1.0,100.0,,0.0,b36,0.8326145132882512,0.3370154527362876,0.5394580009839393,0.21251331189913733,4.511111111111111,3.658333333333333,0.3602566663953993,0.3703761138916015
2022-11-30 22:00:00,0.3168200073242188,4.6,1.812,1.0,100.0,,0.0,b36,0.8334443128425909,0.3370154527362876,0.5525947877775284,0.21251331189913733,4.555555555555556,3.622222222222222,0.3664855567084418,0.37325972578260636
2022-11-30 23:00:00,0.280010009765625,3.7,1.563,1.0,100.0,,0.0,b36,0.8427614372581652,0.3370154527362876,0.565186267400247,0.21251331189913733,4.627777777777777,3.5972222222222214,0.3742388899061415,0.3764797253078885
2022-12-01 00:00:00,0.2928699951171875,3.3,1.348,1.0,100.0,,1.0,b36,0.8564969030838084,0.3370154527362876,0.577637843531964,0.21251331189913733,4.716666666666666,3.586111111111111,0.38557555643717445,0.3804061135186089
