time,DAM_price
06jan2022 23:00:00,.0879400024414062
07jan2022 00:00:00,.0838099975585938
07jan2022 01:00:00,.0877699966430664
07jan2022 02:00:00,.072379997253418
07jan2022 03:00:00,.0767900009155273
07jan2022 04:00:00,.0776999969482422
07jan2022 05:00:00,.0952300033569336
07jan2022 06:00:00,.1418000030517578
07jan2022 07:00:00,.1642100067138672
07jan2022 08:00:00,.2147599945068359
07jan2022 09:00:00,.2438800048828125
07jan2022 10:00:00,.2033500061035156
07jan2022 11:00:00,.2156900024414062
07jan2022 12:00:00,.1811000061035156
07jan2022 13:00:00,.2209400024414062
07jan2022 14:00:00,.2181300048828125
07jan2022 15:00:00,.2163899993896484
07jan2022 16:00:00,.2323300018310547
07jan2022 17:00:00,.2443300018310547
07jan2022 18:00:00,.265239990234375
07jan2022 19:00:00,.2576900024414063
07jan2022 20:00:00,.2503200073242188
07jan2022 21:00:00,.2138099975585938
07jan2022 22:00:00,.2355899963378906
07jan2022 23:00:00,.23
08jan2022 00:00:00,.1986499938964844
08jan2022 01:00:00,.16975
08jan2022 02:00:00,.166
08jan2022 03:00:00,.1621300048828125
08jan2022 04:00:00,.16
08jan2022 05:00:00,.1543000030517578
08jan2022 06:00:00,.166
08jan2022 07:00:00,.1829100036621094
08jan2022 08:00:00,.2158899993896484
08jan2022 09:00:00,.231
08jan2022 10:00:00,.2289499969482422
08jan2022 11:00:00,.2153899993896485
08jan2022 12:00:00,.2066799926757812
08jan2022 13:00:00,.185
08jan2022 14:00:00,.1695200042724609
08jan2022 15:00:00,.1628000030517578
08jan2022 16:00:00,.1618200073242188
08jan2022 17:00:00,.1898999938964844
08jan2022 18:00:00,.1984499969482422
08jan2022 19:00:00,.2115200042724609
08jan2022 20:00:00,.1279700012207031
08jan2022 21:00:00,.1260899963378906
08jan2022 22:00:00,.1239400024414063
08jan2022 23:00:00,.0940199966430664
09jan2022 00:00:00,.104620002746582
09jan2022 01:00:00,.0894300003051758
09jan2022 02:00:00,.0802399978637695
09jan2022 03:00:00,.0554599990844727
09jan2022 04:00:00,.0458199996948242
09jan2022 05:00:00,.0485
09jan2022 06:00:00,.0742900009155273
09jan2022 07:00:00,.0831699981689453
09jan2022 08:00:00,.0972600021362305
09jan2022 09:00:00,.1269400024414062
09jan2022 10:00:00,.1355700073242188
09jan2022 11:00:00,.1462599945068359
09jan2022 12:00:00,.1656499938964844
09jan2022 13:00:00,.1650599975585937
09jan2022 14:00:00,.1700899963378906
09jan2022 15:00:00,.1890399932861328
09jan2022 16:00:00,.1909600067138672
09jan2022 17:00:00,.2233000030517578
09jan2022 18:00:00,.2439400024414063
09jan2022 19:00:00,.24
09jan2022 20:00:00,.2308200073242188
09jan2022 21:00:00,.2140200042724609
09jan2022 22:00:00,.2158800048828125
09jan2022 23:00:00,.2038000030517578
10jan2022 00:00:00,.1962299957275391
10jan2022 01:00:00,.1918500061035156
10jan2022 02:00:00,.1959100036621094
10jan2022 03:00:00,.1866600036621094
10jan2022 04:00:00,.1780399932861328
10jan2022 05:00:00,.1916499938964844
10jan2022 06:00:00,.2374400024414063
10jan2022 07:00:00,.2999500122070313
10jan2022 08:00:00,.3139200134277344
10jan2022 09:00:00,.315
10jan2022 10:00:00,.3104100036621094
10jan2022 11:00:00,.3100799865722656
10jan2022 12:00:00,.3
10jan2022 13:00:00,.297010009765625
10jan2022 14:00:00,.2999599914550781
10jan2022 15:00:00,.3007799987792969
10jan2022 16:00:00,.2996300048828125
10jan2022 17:00:00,.3132000122070313
10jan2022 18:00:00,.3108200073242188
10jan2022 19:00:00,.2949800109863281
10jan2022 20:00:00,.2674500122070312
